host,apex,signal_priority,priority_reason,included_via_subdomain,included_via_redirect,included_reason,redirect_target,redirect_chain,mx_present,spf,dkim_found,dmarc_policy,dnssec,mail_vendors,http_present,http_status,portal_signal,ct_count,breach_flag,score
memberanalytics-data-out-prod,memberanalytics-data-out-prod,Medium,Custom defined search term (non-domain). Skipped DNS/HTTP checks.,False,False,,,,False,,False,,,,False,,False,,,0
bjs-gen-prod,bjs-gen-prod,Medium,Custom defined search term (non-domain). Skipped DNS/HTTP checks.,False,False,,,,False,,False,,,,False,,False,,,0
bjs-dods-prod,bjs-dods-prod,Medium,Custom defined search term (non-domain). Skipped DNS/HTTP checks.,False,False,,,,False,,False,,,,False,,False,,,0
bjsonline,bjsonline,Medium,Custom defined search term (non-domain). Skipped DNS/HTTP checks.,False,False,,,,False,,False,,,,False,,False,,,0
wb00dcdnsp13,wb00dcdnsp13,Medium,Custom defined search term (non-domain). Skipped DNS/HTTP checks.,False,False,,,,False,,False,,,,False,,False,,,0
svc_datapower_gen,svc_datapower_gen,Medium,Custom defined search term (non-domain). Skipped DNS/HTTP checks.,False,False,,,,False,,False,,,,False,,False,,,0
ue00comapp01,ue00comapp01,Medium,Custom defined search term (non-domain). Skipped DNS/HTTP checks.,False,False,,,,False,,False,,,,False,,False,,,0
cloudbjs.com,cloudbjs.com,Low,score=-1 → Low; -2 No MX (email risk dampened); +1 DNSSEC absent,False,False,,,http://www.cloudbjs.com/,False,,False,,False,,False,,False,,,-1
bjs-digital-prod,bjs-digital-prod,Medium,Custom defined search term (non-domain). Skipped DNS/HTTP checks.,False,False,,,,False,,False,,,,False,,False,,,0
bjsadmin,bjsadmin,Medium,Custom defined search term (non-domain). Skipped DNS/HTTP checks.,False,False,,,,False,,False,,,,False,,False,,,0
svc_talend_pii,svc_talend_pii,Medium,Custom defined search term (non-domain). Skipped DNS/HTTP checks.,False,False,,,,False,,False,,,,False,,False,,,0
bjs-edw-edd-prod,bjs-edw-edd-prod,Medium,Custom defined search term (non-domain). Skipped DNS/HTTP checks.,False,False,,,,False,,False,,,,False,,False,,,0
dctest.inc,dctest.inc,Low,score=-1 → Low; -2 No MX (email risk dampened); +1 DNSSEC absent,False,False,,,http://www.dctest.inc/,False,,False,,False,,False,,False,,,-1
bjw2k.asg,bjw2k.asg,Medium,Custom defined search term (non-domain). Skipped DNS/HTTP checks.,False,False,,,,False,,False,,,,False,,False,,,0
bjs.com,bjs.com,High,score=25 → High; +8 Primary brand domain; +4 MX present; +1 SPF ~all (soft fail); +2 DKIM discovered; +1 DNSSEC absent; +1 Mail vendors ['proofpoint']; +3 Active HTTP endpoint; +5 Retail/portal paths present,False,False,,www.bjs.com,https://bjs.com/ -> https://www.bjs.com/,True,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com ~all,True,reject,False,proofpoint,True,301,True,,,25
oe.bjs.com,bjs.com,Included,Subdomain of covered apex bjs.com,True,False,Subdomain of covered apex bjs.com,,http://www.oe.bjs.com/,True,v=spf1 ip4:130.248.128.0/24 -all,False,,False,,False,,False,,,0
email.bjs.com,bjs.com,Included,Subdomain of covered apex bjs.com,True,False,Subdomain of covered apex bjs.com,email.bjs.com,https://email.bjs.com/,True,v=spf1 ip4:207.251.96.0/24 ip4:65.125.54.0/24 ip4:63.232.57.0/24 ip4:208.49.63.128/28 ip4:63.211.90.16/29 ip4:8.7.42.16/29 ip4:8.7.43.16/29 ip4:63.232.236.144/29 ip4:8.7.44.144/29 ip4:63.236.31.128/26 ip4:63.236.76.0/23 ip4:8.30.201.0/26 ip4:173.213.4.95/32 ip4:63.148.46.81/32 ~all,False,,False,,True,302,True,,,0
berkleyjensen.com,berkleyjensen.com,Included,Redirects to host under covered apex bjs.com,False,True,Redirects to host under covered apex bjs.com,www.bjs.com,https://berkleyjensen.com/ -> https://www.berkleyjensen.com/ -> https://www.bjs.com/content?template=B&espot_main=OwnBrands_BerkleyJensen,False,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com ~all,False,reject,False,,True,301,True,,,0
em.bjs.com,bjs.com,Included,Subdomain of covered apex bjs.com,True,False,Subdomain of covered apex bjs.com,,http://www.em.bjs.com/,True,v=spf1 ip4:130.248.128.0/24 -all,False,quarantine,False,,False,,False,,,0
wellesleyfarms.com,wellesleyfarms.com,Included,Redirects to host under covered apex bjs.com,False,True,Redirects to host under covered apex bjs.com,www.bjs.com,https://wellesleyfarms.com/ -> https://www.wellsleyfarms.com/ -> https://www.bjs.com/content?template=B&espot_main=OwnBrands_WellsleyFarms,False,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com ~all,False,reject,False,,True,301,True,,,0
